"","assessment","assessor","representation.A","representation.B","selected.at","completed","Selected.representation","Select.best.duration","Select.best.SEQ","Select.best.SEQ.duration","total.duration"
"27717","Aantallen Schatten","Observer01",29,25,"2016/12/19 20:04:54",1,"29","3",4,"2",5
"27718","Aantallen Schatten","Observer01",18,15,"2016/12/19 20:05:08",1,"18","12",6,"1",13
"27719","Aantallen Schatten","Observer01",27,19,"2016/12/19 20:05:13",1,"27","2",3,"5",7
"27720","Aantallen Schatten","Observer01",13,15,"2016/12/19 20:05:37",1,"15","19",3,"13",32
"27721","Aantallen Schatten","Observer01",20,23,"2016/12/19 20:05:54",1,"23","4",3,"3",7
"27722","Aantallen Schatten","Observer01",21,19,"2016/12/19 20:06:03",1,"21","5",4,"3",8
"27723","Aantallen Schatten","Observer01",26,10,"2016/12/19 20:13:27",1,"26","3",1,"3",6
"27724","Aantallen Schatten","Observer01",17,14,"2016/12/19 20:10:07",1,"17","8",6,"3",11
"27725","Aantallen Schatten","Observer01",24,27,"2016/12/19 20:10:14",1,"27","4",6,"3",7
"27727","Aantallen Schatten","Observer01",16,29,"2016/12/19 20:10:34",1,"29","5",3,"2",7
"27728","Aantallen Schatten","Observer01",12,28,"2016/12/19 20:10:39",1,"28","2",2,"2",4
"27729","Aantallen Schatten","Observer01",11,18,"2016/12/19 20:10:43",1,"18","3",2,"2",5
"27730","Aantallen Schatten","Observer01",13,12,"2016/12/19 20:10:49",1,"12","4",6,"2",6
"27731","Aantallen Schatten","Observer01",19,25,"2016/12/19 20:11:04",1,"25","13",6,"7",20
"27732","Aantallen Schatten","Observer01",23,17,"2016/12/19 20:27:09",1,"23","4",6,"2",6
"27734","Aantallen Schatten","Observer01",22,16,"2016/12/19 20:13:34",1,"22","2",3,"2",4
"27735","Aantallen Schatten","Observer01",29,28,"2016/12/19 20:13:39",1,"28","4",7,"1",5
"27736","Aantallen Schatten","Observer01",10,11,"2016/12/19 20:13:47",1,"10","5",6,"4",9
"27737","Aantallen Schatten","Observer01",18,27,"2016/12/19 20:13:53",1,"27","3",5,"2",5
"27738","Aantallen Schatten","Observer01",14,15,"2016/12/19 20:14:01",1,"15","5",6,"4",9
"27739","Aantallen Schatten","Observer01",26,21,"2016/12/19 20:14:07",1,"26","3",4,"4",7
"27740","Aantallen Schatten","Observer01",24,20,"2016/12/19 20:14:14",1,"24","2",5,"3",5
"27741","Aantallen Schatten","Observer01",22,12,"2016/12/19 20:14:19",1,"22","3",3,"2",5
"27742","Aantallen Schatten","Observer01",15,21,"2016/12/19 20:14:31",1,"21","10",4,"2",12
"27743","Aantallen Schatten","Observer01",24,25,"2016/12/19 20:14:43",1,"25","8",6,"2",10
"27744","Aantallen Schatten","Observer01",14,27,"2016/12/19 20:14:50",1,"27","5",2,"8",13
"27745","Aantallen Schatten","Observer01",17,10,"2016/12/19 20:15:01",1,"17","4",2,"8",12
"27746","Aantallen Schatten","Observer01",23,11,"2016/12/19 20:15:13",1,"23","3",3,"4",7
"27747","Aantallen Schatten","Observer01",29,19,"2016/12/19 20:15:22",1,"29","6",4,"2",8
"27748","Aantallen Schatten","Observer01",18,26,"2016/12/19 20:15:29",1,"26","4",3,"5",9
"27749","Aantallen Schatten","Observer01",28,13,"2016/12/19 20:15:36",1,"28","3",2,"4",7
"27750","Aantallen Schatten","Observer01",20,16,"2016/12/19 20:15:46",1,"20","5",4,"3",8
"27751","Aantallen Schatten","Observer01",26,23,"2016/12/19 20:15:53",1,"26","4",3,"5",9
"27752","Aantallen Schatten","Observer01",24,16,"2016/12/19 20:16:00",1,"24","3",3,"7",10
"27753","Aantallen Schatten","Observer01",19,13,"2016/12/19 20:16:11",1,"19","2",1,"2",4
"27754","Aantallen Schatten","Observer01",18,12,"2016/12/19 20:16:19",1,"18","6",2,"2",8
"27755","Aantallen Schatten","Observer01",14,28,"2016/12/19 20:16:24",1,"28","3",1,"1",4
"27756","Aantallen Schatten","Observer01",21,10,"2016/12/19 20:16:27",1,"21","2",2,"1",3
"27757","Aantallen Schatten","Observer01",20,29,"2016/12/19 20:16:35",1,"29","5",2,"3",8
"27758","Aantallen Schatten","Observer01",22,15,"2016/12/19 20:16:44",1,"22","5",5,"2",7
"27759","Aantallen Schatten","Observer01",17,11,"2016/12/19 20:16:50",1,"17","5",6,"2",7
"27760","Aantallen Schatten","Observer01",27,25,"2016/12/19 20:16:56",1,"27","4",4,"2",6
"27761","Aantallen Schatten","Observer01",23,13,"2016/12/19 20:17:10",1,"23","10",3,"2",12
"27762","Aantallen Schatten","Observer01",16,17,"2016/12/19 20:17:25",1,"17","12",6,"4",16
"27763","Aantallen Schatten","Observer01",19,12,"2016/12/19 20:17:44",1,"19","14",4,"3",17
"27764","Aantallen Schatten","Observer01",14,25,"2016/12/19 20:17:56",1,"25","8",3,"4",12
"27765","Aantallen Schatten","Observer01",18,10,"2016/12/19 20:18:05",1,"18","4",3,"5",9
"27766","Aantallen Schatten","Observer01",22,28,"2016/12/19 20:18:15",1,"28","6",4,"2",8
"27767","Aantallen Schatten","Observer01",26,24,"2016/12/19 20:18:26",1,"26","9",7,"15",24
"27768","Aantallen Schatten","Observer01",29,21,"2016/12/19 20:18:44",1,"29","3",5,"1",4
"27769","Aantallen Schatten","Observer01",15,27,"2016/12/19 20:18:52",1,"27","5",5,"3",8
"27770","Aantallen Schatten","Observer01",11,20,"2016/12/19 20:19:12",1,"20","16",4,"5",21
"27771","Aantallen Schatten","Observer01",19,15,"2016/12/19 20:19:23",1,"19","6",5,"7",13
"27772","Aantallen Schatten","Observer01",24,23,"2016/12/19 20:19:35",1,"23","6",7,"3",9
"27773","Aantallen Schatten","Observer01",18,17,"2016/12/19 20:19:51",1,"18","12",7,"5",17
"27774","Aantallen Schatten","Observer01",10,22,"2016/12/19 20:19:58",1,"22","2",2,"2",4
"27775","Aantallen Schatten","Observer01",21,20,"2016/12/19 20:20:04",1,"21","4",5,"9",13
"27776","Aantallen Schatten","Observer01",26,14,"2016/12/19 20:20:18",1,"26","4",3,"7",11
"27777","Aantallen Schatten","Observer01",27,29,"2016/12/19 20:20:30",1,"29","5",7,"3",8
"27778","Aantallen Schatten","Observer01",13,16,"2016/12/19 20:20:39",1,"16","7",5,"2",9
"27779","Aantallen Schatten","Observer01",25,12,"2016/12/19 20:20:47",1,"25","5",3,"2",7
"27780","Aantallen Schatten","Observer01",11,28,"2016/12/19 20:20:54",1,"28","4",3,"5",9
"27781","Aantallen Schatten","Observer01",26,28,"2016/12/19 20:21:03",1,"28","4",5,"2",6
"27782","Aantallen Schatten","Observer01",16,23,"2016/12/19 20:21:08",1,"23","3",4,"6",9
"27783","Aantallen Schatten","Observer01",12,14,"2016/12/19 20:21:25",1,"14","9",5,"2",11
"27784","Aantallen Schatten","Observer01",27,21,"2016/12/19 20:21:38",1,"27","12",5,"4",16
"27785","Aantallen Schatten","Observer01",18,24,"2016/12/19 20:22:00",1,"24","18",5,"3",21
"27786","Aantallen Schatten","Observer01",17,22,"2016/12/19 20:22:08",1,"22","5",4,"3",8
"27787","Aantallen Schatten","Observer01",10,19,"2016/12/19 20:22:14",1,"19","2",5,"5",7
"27788","Aantallen Schatten","Observer01",29,11,"2016/12/19 20:22:21",1,"29","2",3,"4",6
"27789","Aantallen Schatten","Observer01",13,25,"2016/12/19 20:22:28",1,"25","3",1,"1",4
"27790","Aantallen Schatten","Observer01",20,15,"2016/12/19 20:22:33",1,"20","4",4,"4",8
"27791","Aantallen Schatten","Observer01",13,29,"2016/12/19 20:22:42",1,"29","4",1,"2",6
"27792","Aantallen Schatten","Observer01",10,20,"2016/12/19 20:22:46",1,"20","3",3,"2",5
"27793","Aantallen Schatten","Observer01",26,27,"2016/12/19 20:22:54",1,"27","5",6,"5",10
"27794","Aantallen Schatten","Observer01",17,25,"2016/12/19 20:23:02",1,"25","4",7,"16",20
"27795","Aantallen Schatten","Observer01",28,18,"2016/12/19 20:23:22",1,"28","4",4,"1",5
"27796","Aantallen Schatten","Observer01",19,23,"2016/12/19 20:23:26",1,"23","2",2,"2",4
"27797","Aantallen Schatten","Observer01",21,22,"2016/12/19 20:24:09",1,"21","40",7,"3",43
"27798","Aantallen Schatten","Observer01",14,23,"2016/12/19 20:24:15",1,"23","3",5,"4",7
"27799","Aantallen Schatten","Observer01",16,12,"2016/12/19 20:24:22",1,"16","3",5,"7",10
"27800","Aantallen Schatten","Observer01",15,24,"2016/12/19 20:24:33",1,"24","3",6,"4",7
"27801","Aantallen Schatten","Observer01",12,11,"2016/12/19 20:24:42",1,"11","5",7,"4",9
"27802","Aantallen Schatten","Observer01",22,29,"2016/12/19 20:24:50",1,"29","4",6,"3",7
"27803","Aantallen Schatten","Observer01",18,19,"2016/12/19 20:24:58",1,"18","4",5,"3",7
"27804","Aantallen Schatten","Observer01",17,27,"2016/12/19 20:25:04",1,"27","2",5,"3",5
"27805","Aantallen Schatten","Observer01",21,24,"2016/12/19 20:25:10",1,"24","3",4,"6",9
"27806","Aantallen Schatten","Observer01",15,11,"2016/12/19 20:25:20",1,"15","4",6,"2",6
"27807","Aantallen Schatten","Observer01",25,28,"2016/12/19 20:25:25",1,"28","3",6,"2",5
"27808","Aantallen Schatten","Observer01",10,14,"2016/12/19 20:25:31",1,"14","4",5,"3",7
"27809","Aantallen Schatten","Observer01",20,13,"2016/12/19 20:25:37",1,"20","2",5,"6",8
"27810","Aantallen Schatten","Observer01",26,16,"2016/12/19 20:25:45",1,"26","2",5,"4",6
"27812","Aantallen Schatten","Observer01",26,20,"2016/12/19 20:25:52",1,"26","3",4,"3",6
"27813","Aantallen Schatten","Observer01",28,16,"2016/12/19 20:25:59",1,"28","4",4,"3",7
"27814","Aantallen Schatten","Observer01",24,12,"2016/12/19 20:26:05",1,"24","3",4,"2",5
"27815","Aantallen Schatten","Observer01",23,22,"2016/12/19 20:26:13",1,"22","5",5,"2",7
"27816","Aantallen Schatten","Observer01",10,13,"2016/12/19 20:26:19",1,"13","3",4,"2",5
"27817","Aantallen Schatten","Observer01",25,15,"2016/12/19 20:26:25",1,"25","5",4,"4",9
"27818","Aantallen Schatten","Observer01",14,21,"2016/12/19 20:26:32",1,"21","3",4,"2",5
"27819","Aantallen Schatten","Observer01",18,29,"2016/12/19 20:26:38",1,"29","3",3,"3",6
"27820","Aantallen Schatten","Observer01",17,19,"2016/12/19 20:26:45",1,"19","4",5,"7",11
"27821","Aantallen Schatten","Observer01",11,27,"2016/12/19 20:26:56",1,"27","4",1,"2",6
"28143","Aantallen Schatten","Observer02",18,27,"2016/12/21 09:30:40",1,"27","6",4,"4",10
"28141","Aantallen Schatten","Observer02",14,29,"2016/12/21 09:30:24",1,"29","5",1,"3",8
"28135","Aantallen Schatten","Observer02",17,12,"2016/12/21 09:29:04",1,"17","13",2,"8",21
"29172","Aantallen Schatten","Observer06",14,19,"2016/12/23 14:03:42",1,"19","2",6,"2",4
"29305","Aantallen Schatten","Observer06",29,11,"2016/12/26 14:26:26",1,"29","2",2,"1",3
"28639","Aantallen Schatten","Observer02",27,29,"2016/12/21 12:45:52",1,"27","4",6,"2",6
"27986","Aantallen Schatten","Observer10",12,29,"2016/12/20 15:35:41",1,"29","2",1,"2",4
"28586","Aantallen Schatten","Observer02",16,23,"2016/12/21 12:39:03",1,"23","7",6,"2",9
"27903","Aantallen Schatten","Observer11",28,26,"2016/12/20 14:23:24",1,"26","7",5,"2",9
"28136","Aantallen Schatten","Observer02",28,15,"2016/12/21 09:29:18",1,"28","6",1,"2",8
"28137","Aantallen Schatten","Observer02",21,23,"2016/12/21 09:29:31",1,"23","11",6,"7",18
"28821","Aantallen Schatten","Observer10",28,18,"2016/12/22 10:29:57",1,"28","2",4,"1",3
"28006","Aantallen Schatten","Observer10",11,20,"2016/12/20 15:37:54",1,"20","2",7,"2",4
"29169","Aantallen Schatten","Observer06",19,20,"2016/12/23 14:03:26",1,"20","5",7,"1",6
"28139","Aantallen Schatten","Observer02",19,20,"2016/12/21 09:30:04",1,"20","14",6,"4",18
"28012","Aantallen Schatten","Observer10",11,14,"2016/12/20 15:38:30",1,"14","2",4,"2",4
"28144","Aantallen Schatten","Observer02",16,25,"2016/12/21 09:31:06",1,"25","22",3,"3",25
"28819","Aantallen Schatten","Observer10",25,21,"2016/12/22 10:29:43",1,"25","2",6,"8",10
"27901","Aantallen Schatten","Observer11",21,12,"2016/12/20 14:23:04",1,"21","10",2,"7",17
"27902","Aantallen Schatten","Observer11",17,10,"2016/12/20 14:23:15",1,"17","5",2,"2",7
"27905","Aantallen Schatten","Observer11",29,15,"2016/12/20 14:23:31",1,"29","4",2,"2",6
"27906","Aantallen Schatten","Observer11",13,23,"2016/12/20 14:23:39",1,"23","5",4,"4",9
"27908","Aantallen Schatten","Observer11",24,20,"2016/12/20 14:23:48",1,"24","5",3,"3",8
"27909","Aantallen Schatten","Observer11",19,18,"2016/12/20 14:24:03",1,"19","11",5,"2",13
"29210","Aantallen Schatten","Observer05",27,11,"2016/12/23 16:14:52",1,"27","3",2,"2",5
"27911","Aantallen Schatten","Observer11",22,11,"2016/12/20 14:24:09",1,"22","4",2,"1",5
"27912","Aantallen Schatten","Observer11",27,14,"2016/12/20 14:24:15",1,"27","3",2,"1",4
"27913","Aantallen Schatten","Observer11",16,25,"2016/12/20 14:24:21",1,"25","5",4,"1",6
"27914","Aantallen Schatten","Observer11",15,12,"2016/12/20 14:24:28",1,"15","5",5,"2",7
"27915","Aantallen Schatten","Observer11",10,23,"2016/12/20 14:24:37",1,"23","6",2,"1",7
"27916","Aantallen Schatten","Observer11",16,28,"2016/12/20 14:24:42",1,"28","4",2,"3",7
"27917","Aantallen Schatten","Observer11",24,14,"2016/12/20 14:24:50",1,"24","3",2,"3",6
"27918","Aantallen Schatten","Observer11",18,11,"2016/12/20 14:24:55",1,"18","3",2,"1",4
"27919","Aantallen Schatten","Observer11",26,13,"2016/12/20 14:25:01",1,"26","4",2,"2",6
"27920","Aantallen Schatten","Observer11",17,21,"2016/12/20 14:25:07",1,"21","3",3,"1",4
"27921","Aantallen Schatten","Observer11",22,29,"2016/12/20 14:25:22",1,"29","13",4,"1",14
"27922","Aantallen Schatten","Observer11",19,27,"2016/12/20 14:25:28",1,"27","5",5,"2",7
"27923","Aantallen Schatten","Observer11",20,25,"2016/12/20 14:25:42",1,"25","11",6,"2",13
"27924","Aantallen Schatten","Observer11",12,13,"2016/12/20 14:25:51",1,"13","7",6,"1",8
"27925","Aantallen Schatten","Observer11",28,10,"2016/12/20 14:25:56",1,"28","3",2,"2",5
"27927","Aantallen Schatten","Observer11",29,19,"2016/12/20 14:26:03",1,"29","5",2,"2",7
"27928","Aantallen Schatten","Observer11",11,24,"2016/12/20 14:26:08",1,"24","3",2,"1",4
"27929","Aantallen Schatten","Observer11",25,21,"2016/12/20 14:26:16",1,"25","7",5,"2",9
"27930","Aantallen Schatten","Observer11",14,15,"2016/12/20 14:26:23",1,"15","4",6,"2",6
"27931","Aantallen Schatten","Observer11",23,17,"2016/12/20 14:26:44",1,"23","19",5,"3",22
"27932","Aantallen Schatten","Observer11",18,26,"2016/12/20 14:26:58",1,"26","10",5,"2",12
"27933","Aantallen Schatten","Observer11",27,16,"2016/12/20 14:27:04",1,"27","3",4,"3",6
"27934","Aantallen Schatten","Observer11",20,22,"2017/01/03 15:08:02",1,"22","5",4,"4",9
"28138","Aantallen Schatten","Observer02",26,10,"2016/12/21 09:29:44",1,"26","6",1,"6",12
"28140","Aantallen Schatten","Observer02",22,13,"2016/12/21 09:30:15",1,"22","7",2,"4",11
"27985","Aantallen Schatten","Observer10",21,15,"2016/12/20 15:35:26",1,"21","8",5,"12",20
"27987","Aantallen Schatten","Observer10",26,13,"2016/12/20 15:35:46",1,"26","2",1,"2",4
"27988","Aantallen Schatten","Observer10",23,10,"2016/12/20 15:35:51",1,"23","3",1,"2",5
"27989","Aantallen Schatten","Observer10",17,28,"2016/12/20 15:35:58",1,"28","4",2,"4",8
"27990","Aantallen Schatten","Observer10",22,16,"2016/12/20 15:36:06",1,"22","4",4,"5",9
"27992","Aantallen Schatten","Observer10",27,20,"2016/12/20 15:36:19",1,"27","8",6,"4",12
"27993","Aantallen Schatten","Observer10",24,11,"2016/12/20 15:36:25",1,"24","3",1,"3",6
"27994","Aantallen Schatten","Observer10",18,25,"2016/12/20 15:36:31",1,"25","3",4,"3",6
"27997","Aantallen Schatten","Observer10",19,14,"2016/12/20 15:36:38",1,"19","3",5,"5",8
"27998","Aantallen Schatten","Observer10",17,23,"2016/12/20 15:36:48",1,"23","3",5,"3",6
"27999","Aantallen Schatten","Observer10",15,13,"2016/12/20 15:37:10",1,"15","19",6,"2",21
"28000","Aantallen Schatten","Observer10",27,29,"2016/12/20 15:37:18",1,"29","4",7,"3",7
"28001","Aantallen Schatten","Observer10",22,19,"2016/12/20 15:37:27",1,"22","7",7,"4",11
"28002","Aantallen Schatten","Observer10",18,24,"2016/12/20 15:37:35",1,"24","4",6,"1",5
"28003","Aantallen Schatten","Observer10",21,26,"2016/12/20 15:37:40",1,"26","2",6,"2",4
"28004","Aantallen Schatten","Observer10",10,28,"2016/12/20 15:37:44",1,"28","2",1,"3",5
"28005","Aantallen Schatten","Observer10",16,12,"2016/12/20 15:37:50",1,"16","3",5,"3",6
"28007","Aantallen Schatten","Observer10",25,14,"2016/12/20 15:37:58",1,"25","2",4,"2",4
"28008","Aantallen Schatten","Observer10",10,29,"2016/12/20 15:38:02",1,"29","2",1,"1",3
"28009","Aantallen Schatten","Observer10",13,17,"2016/12/20 15:38:09",1,"17","4",6,"8",12
"28011","Aantallen Schatten","Observer10",16,21,"2016/12/20 15:38:23",1,"16","7",7,"5",12
"28013","Aantallen Schatten","Observer10",27,18,"2016/12/20 15:38:35",1,"27","2",5,"2",4
"28014","Aantallen Schatten","Observer10",22,15,"2016/12/20 15:38:41",1,"22","4",3,"2",6
"28015","Aantallen Schatten","Observer10",12,28,"2016/12/20 15:38:47",1,"28","2",5,"4",6
"28017","Aantallen Schatten","Observer10",26,23,"2016/12/20 15:39:09",1,"26","18",7,"3",21
"28018","Aantallen Schatten","Observer10",24,25,"2016/12/20 15:39:14",1,"25","3",7,"2",5
"28019","Aantallen Schatten","Observer10",19,20,"2016/12/20 15:39:25",1,"19","8",7,"4",12
"28020","Aantallen Schatten","Observer10",12,26,"2016/12/20 15:39:30",1,"26","2",5,"3",5
"28021","Aantallen Schatten","Observer10",10,15,"2016/12/20 15:39:39",1,"15","6",6,"4",10
"28022","Aantallen Schatten","Observer10",17,18,"2016/12/20 15:39:48",1,"17","4",6,"2",6
"28023","Aantallen Schatten","Observer10",14,20,"2016/12/20 15:39:53",1,"20","2",6,"2",4
"28024","Aantallen Schatten","Observer10",16,24,"2016/12/20 15:40:00",1,"24","5",6,"3",8
"28026","Aantallen Schatten","Observer10",22,29,"2016/12/20 15:40:25",1,"22","22",7,"2",24
"28027","Aantallen Schatten","Observer10",23,21,"2016/12/20 15:40:31",1,"23","3",7,"2",5
"28029","Aantallen Schatten","Observer10",13,28,"2016/12/20 15:40:37",1,"28","3",5,"2",5
"28030","Aantallen Schatten","Observer10",25,27,"2016/12/20 15:40:43",1,"25","3",7,"3",6
"28031","Aantallen Schatten","Observer10",11,19,"2016/12/20 15:40:48",1,"19","2",2,"3",5
"28032","Aantallen Schatten","Observer10",28,26,"2016/12/20 15:40:57",1,"28","7",7,"3",10
"28033","Aantallen Schatten","Observer10",15,29,"2016/12/20 15:41:03",1,"29","1",3,"4",5
"28035","Aantallen Schatten","Observer10",20,18,"2016/12/20 15:41:10",1,"20","3",6,"4",7
"28036","Aantallen Schatten","Observer10",23,16,"2016/12/20 15:41:17",1,"23","3",6,"4",7
"28037","Aantallen Schatten","Observer10",25,19,"2016/12/20 15:41:25",1,"25","4",6,"2",6
"28038","Aantallen Schatten","Observer10",11,17,"2016/12/20 15:41:29",1,"17","2",3,"3",5
"28039","Aantallen Schatten","Observer10",12,21,"2016/12/20 15:41:35",1,"21","2",3,"2",4
"28041","Aantallen Schatten","Observer10",13,10,"2016/12/20 15:41:41",1,"13","4",6,"2",6
"28042","Aantallen Schatten","Observer10",24,27,"2016/12/20 15:41:58",1,"27","13",7,"2",15
"28044","Aantallen Schatten","Observer10",22,14,"2016/12/20 15:42:02",1,"22","2",5,"3",5
"28045","Aantallen Schatten","Observer10",13,29,"2016/12/22 10:29:38",1,"29","2",6,"4",6
"28145","Aantallen Schatten","Observer02",12,23,"2016/12/21 09:31:18",1,"23","8",3,"4",12
"28146","Aantallen Schatten","Observer02",28,26,"2016/12/21 09:31:29",1,"28","7",6,"3",10
"28147","Aantallen Schatten","Observer02",16,18,"2016/12/21 09:32:40",1,"16","68",6,"3",71
"28148","Aantallen Schatten","Observer02",19,24,"2016/12/21 09:32:58",1,"19","15",6,"2",17
"28149","Aantallen Schatten","Observer02",29,13,"2016/12/21 09:33:05",1,"29","4",3,"2",6
"28150","Aantallen Schatten","Observer02",17,10,"2016/12/21 09:33:14",1,"17","6",5,"6",12
"28151","Aantallen Schatten","Observer02",15,21,"2016/12/21 09:36:57",1,"21","217",6,"2",219
"28153","Aantallen Schatten","Observer02",11,22,"2016/12/21 09:37:04",1,"22","4",3,"3",7
"28154","Aantallen Schatten","Observer02",27,25,"2016/12/21 09:37:16",1,"25","9",6,"2",11
"28155","Aantallen Schatten","Observer02",14,20,"2016/12/21 09:37:23",1,"20","4",3,"3",7
"28156","Aantallen Schatten","Observer02",15,17,"2016/12/21 09:37:35",1,"17","9",5,"2",11
"28157","Aantallen Schatten","Observer02",23,26,"2016/12/21 09:37:42",1,"26","5",5,"3",8
"28158","Aantallen Schatten","Observer02",24,22,"2016/12/21 09:37:51",1,"22","6",6,"4",10
"28159","Aantallen Schatten","Observer02",16,14,"2016/12/21 09:41:28",1,"16","213",6,"2",215
"28160","Aantallen Schatten","Observer02",27,19,"2016/12/21 09:41:41",1,"27","10",6,"3",13
"28161","Aantallen Schatten","Observer02",29,12,"2016/12/21 09:41:48",1,"29","4",2,"2",6
"28162","Aantallen Schatten","Observer02",21,10,"2016/12/21 09:41:59",1,"21","9",5,"2",11
"28163","Aantallen Schatten","Observer02",28,20,"2016/12/21 09:42:11",1,"28","9",6,"2",11
"28164","Aantallen Schatten","Observer02",18,11,"2016/12/21 09:42:18",1,"18","5",3,"4",9
"28165","Aantallen Schatten","Observer02",13,25,"2016/12/21 09:42:27",1,"25","5",2,"2",7
"28166","Aantallen Schatten","Observer02",23,15,"2016/12/21 09:42:39",1,"23","9",5,"4",13
"28167","Aantallen Schatten","Observer02",18,10,"2016/12/21 09:45:21",1,"18","158",4,"4",162
"28168","Aantallen Schatten","Observer02",22,29,"2016/12/21 09:45:32",1,"29","7",5,"3",10
"28169","Aantallen Schatten","Observer02",20,25,"2016/12/21 09:45:40",1,"25","5",6,"2",7
"28170","Aantallen Schatten","Observer02",24,17,"2016/12/21 09:45:55",1,"24","13",5,"2",15
"28171","Aantallen Schatten","Observer02",28,27,"2016/12/21 09:46:15",1,"28","18",6,"3",21
"28172","Aantallen Schatten","Observer02",16,21,"2016/12/21 09:47:01",1,"21","43",5,"2",45
"28173","Aantallen Schatten","Observer02",12,26,"2016/12/21 09:47:56",1,"26","53",5,"7",60
"28174","Aantallen Schatten","Observer02",14,19,"2016/12/21 09:48:09",1,"19","5",4,"2",7
"28175","Aantallen Schatten","Observer02",11,13,"2016/12/21 09:48:19",1,"13","7",4,"3",10
"28176","Aantallen Schatten","Observer02",10,28,"2016/12/21 09:48:27",1,"28","5",3,"3",8
"28177","Aantallen Schatten","Observer02",23,11,"2016/12/21 09:48:35",1,"23","5",2,"3",8
"28178","Aantallen Schatten","Observer02",14,25,"2016/12/21 09:48:47",1,"25","9",2,"5",14
"28179","Aantallen Schatten","Observer02",17,22,"2016/12/21 09:48:57",1,"22","5",2,"4",9
"28180","Aantallen Schatten","Observer02",19,12,"2016/12/21 09:49:05",1,"19","4",3,"4",8
"28181","Aantallen Schatten","Observer02",21,18,"2016/12/21 09:49:39",1,"21","29",6,"4",33
"28182","Aantallen Schatten","Observer02",15,13,"2016/12/21 09:49:58",1,"15","15",6,"3",18
"28183","Aantallen Schatten","Observer02",27,26,"2016/12/21 09:50:09",1,"26","8",7,"2",10
"28184","Aantallen Schatten","Observer02",20,24,"2016/12/21 09:51:10",1,"24","59",6,"4",63
"28185","Aantallen Schatten","Observer02",29,16,"2016/12/21 09:51:22",1,"29","7",6,"2",9
"28186","Aantallen Schatten","Observer02",12,28,"2016/12/21 09:51:29",1,"28","4",4,"3",7
"28187","Aantallen Schatten","Observer02",21,11,"2016/12/21 09:51:36",1,"21","3",2,"2",5
"28188","Aantallen Schatten","Observer02",17,25,"2016/12/21 09:51:43",1,"25","5",4,"2",7
"28189","Aantallen Schatten","Observer02",26,14,"2016/12/21 09:51:49",1,"26","4",2,"2",6
"28190","Aantallen Schatten","Observer02",24,29,"2016/12/21 09:53:35",1,"29","104",6,"4",108
"28191","Aantallen Schatten","Observer02",15,18,"2016/12/21 09:53:46",1,"18","7",6,"2",9
"28192","Aantallen Schatten","Observer02",19,13,"2016/12/21 09:53:53",1,"19","4",3,"2",6
"28193","Aantallen Schatten","Observer02",10,23,"2016/12/21 09:54:01",1,"23","6",3,"3",9
"28194","Aantallen Schatten","Observer02",22,27,"2016/12/21 09:54:13",1,"27","9",6,"2",11
"28195","Aantallen Schatten","Observer02",20,16,"2016/12/21 09:54:19",1,"20","4",5,"3",7
"28196","Aantallen Schatten","Observer02",15,26,"2016/12/21 09:54:27",1,"26","5",4,"2",7
"28197","Aantallen Schatten","Observer02",22,16,"2016/12/21 09:54:34",1,"22","5",4,"4",9
"28198","Aantallen Schatten","Observer02",19,10,"2016/12/21 09:54:43",1,"19","5",2,"3",8
"28199","Aantallen Schatten","Observer02",11,25,"2016/12/21 09:54:50",1,"25","3",2,"3",6
"28200","Aantallen Schatten","Observer02",12,24,"2016/12/21 09:54:58",1,"24","5",3,"2",7
"28201","Aantallen Schatten","Observer02",28,21,"2016/12/21 09:55:05",1,"28","5",3,"4",9
"28202","Aantallen Schatten","Observer02",29,18,"2016/12/21 09:57:12",1,"29","122",3,"6",128
"28203","Aantallen Schatten","Observer02",20,23,"2016/12/21 10:04:11",1,"20","412",6,"3",415
"28204","Aantallen Schatten","Observer02",17,13,"2016/12/21 10:04:24",1,"17","9",6,"3",12
"28205","Aantallen Schatten","Observer02",14,27,"2016/12/21 10:04:32",1,"27","5",4,"2",7
"28206","Aantallen Schatten","Observer02",23,17,"2016/12/21 10:04:40",1,"23","5",5,"3",8
"28207","Aantallen Schatten","Observer02",18,28,"2016/12/21 10:04:48",1,"28","4",4,"2",6
"28208","Aantallen Schatten","Observer02",14,24,"2016/12/21 10:04:54",1,"24","4",3,"2",6
"28209","Aantallen Schatten","Observer02",13,16,"2016/12/21 10:05:06",1,"16","10",6,"2",12
"28210","Aantallen Schatten","Observer02",26,19,"2016/12/21 10:05:13",1,"26","4",5,"2",6
"28211","Aantallen Schatten","Observer02",21,22,"2016/12/21 10:05:52",1,"22","37",6,"3",40
"28212","Aantallen Schatten","Observer02",25,12,"2016/12/21 10:05:59",1,"25","4",3,"2",6
"28213","Aantallen Schatten","Observer02",15,10,"2016/12/21 10:06:11",1,"15","10",6,"2",12
"28214","Aantallen Schatten","Observer02",29,11,"2016/12/21 10:06:17",1,"29","4",2,"2",6
"28215","Aantallen Schatten","Observer02",27,20,"2016/12/21 10:06:30",1,"20","11",7,"2",13
"28216","Aantallen Schatten","Observer02",28,17,"2016/12/21 10:06:37",1,"28","5",5,"2",7
"28217","Aantallen Schatten","Observer02",11,19,"2016/12/21 10:09:39",1,"19","179",3,"2",181
"28218","Aantallen Schatten","Observer02",16,26,"2016/12/21 10:09:50",1,"26","9",6,"2",11
